category,text
tech,tv futur hand viewer hom theatr system plasma high defini tv digita video recorder mov liv room way peopl watch tv radic different fiv year tim accord expert pane gather annuum consumer electron show la vega discuss new technologus impact one favourit pastim us lead trend programm content deliver viewer via hom network cabl satellit telecom compani broadband servic provider front room portab devic one talk technologus ce digita persona video recorder dvr pvr set top boxe lik us tivo uk sky system allow peopl record stor play pau forward wind tv programm want essentia technologus allow much personali tv also built high defini tv set big busi japan us slow tak europ lack high defini program peopl forward wind advert also forget abid network channe schedu put together la cart entertain us network cabl satellit compani worri mean term advertis revenu well brand identiti viewer loyalto channe although us lead technologus moment also concern rais europ particularli grow uptak servic lik sky happen today see nin month year tim uk adam hum bbc broadcast futurologist told bbc new websit lik bbc issue lost advertis revenu yet press issue moment commercia uk broadcaster brand loyalto important everyon talk content brand rather network brand said tim hanlon brand communic firm starcom mediave realiti broadband connection anybodi producer content ad challeng hard promot programm much choic mean said stacey jolna senior vic president tv guid tv group way peopl find content want watch simplifi tv viewer mean network us term channe could tak leaf googl book search engin futur instead scheduler help peopl find want watch kind channe mode might work young ipod generat us tak contro gadget play might suit everyon pane recogni old generat comfortab familiar schedu channe brand know get perhap want much choic put hand mr hanlon suggest end kid diaper push button alreadi everyth possib availab said mr hanlon ultimat consumer tell market want new gadget technologus showca ce mani enhanc tv watch experienc high defini tv set everywher mani new mode lc liquid crystal display tv launch dvr capab built instead externa boxe one examp launch show humax inch lc tv hour tivo dvr dv recorder one us big satellit tv compani directtv even launch brand dvr show hour record capab instant replay search function set pau rewind tv hour microsoft chief bill gat announc pre show keynot speech partnership tivo call tivotogo mean peopl play record programm window pc mobi devic reflect increa trend fre multimedia peopl watch want want
business,worldcom boss left book alon former worldcom boss berni ebber accus over bn bn fraud never mad account decision witness told juror david myer mad comment question defenc lawyer argu mr ebber responsib worldcom problem phon compani collap prosecutor claim loss hide protect firm shar mr myer alreadi plead guilto fraud assist prosecutor monday defenc lawyer reid weingarten tri distanc client allegat cross examin ask mr myer ever know mr ebber mak account decision awar mr myer repli ever know mr ebber mak account entri worldcom book mr weingarten press repli witness mr myer admit order fal account entri request former worldcom chief financia officer scott sullivan defenc lawyer try paint mr sullivan admit fraud testifi later trial mastermind behind worldcom account hous card mr ebber team meanwhi look portray affab boss admission pe graduat economist whatever able mr ebber transform worldcom rel unknown bn telecom giant investor darl lat worldcom problem mount however competi increa telecom boom peter firm finalli collap sharehold lost bn worker lost job mr ebber trial expect last two month found guilto former ceo fac substantia jail sentenc firmli declar innocenc
sport,tiger wari farrel gambl leicester say rush mak bid andi farrel great britain rugbi leagu captain decid switch cod anybodi else involv process still way away go next stag tiger boss john well told bbc radio leicester moment still lot unknown andi farrel least medic situat whoever tak go tak big big gambl farrel persistent knee problem operat knee fiv week ago expect another three month leicester saracen believ head list rugbi union club interest sign farrel decid mov man gam mov across union well believ would better play back least initia m sur could mak step leagu union involv centr said well think england would prefer progress position back row mak use rugbi leagu skill within forward juri whether cross divid club balanc struck cost gambl option bring readi mad replac
sport,yead fac newcast fa cup premiership sid newcast unit fac trip ryman premier leagu leader yead fa cup third round gam arguabli highlight draw potentia money spinner non leagu yead beat slough second round conferenc sid exeter citi knock doncaster saturday trave old trafford meet holder manchester unit januari arsena draw hom stok chelsea play host scunthorp non leagu sid draw hinckley unit held brentford goalless draw sunday meet leagu one leader luton win replay martin all team griffin park number premiership team fac difficult away gam championship sid weekend januari third plac everton visit plymouth liverpoo trave burnley crystal palac go sunderland fulham fac carl cup semi finalist watford bolton meet ipswich aston villa draw sheffield unit premiership struggler norwich blackburn west brom away west ham cardiff preston north end respectiv southampton visit northampton alreadi beat leagu two sid carl cup early season middlesbrough draw away either swindon nott counti spur entertain brighton whit hart lan arsena v stok swindonnott co v middlesbrough man ut v exeter plymouth v everton leicester v blackpoo derbi v wigan sunderland v crystal palac wolv v millwal yead v newcast hull v colchester tottenham v brighton read v stockportswansea birmingham v leed hartlepoo v boston milton keyn don v peterborough oldham v man citi chelsea v scunthorp cardiff v blackburn charlton v rochda west ham v norwich sheff ut v aston villa preston v west brom rotherham v yeovi burnley v liverpoo bournemouth v chester coventri v crewe watford v fulham ipswich v bolton portsmouth v gillingham northampton v southampton qpr v nottm forest luton v hinckleybrentford match play weekend januari
entertainment,ocean twelv raid box offic ocean twelv crim caper seque star georg clooney brad pitt julia robert gon straight number one us box offic chart take m m weekend ticket sal accord studio estimat seque follow master crimina try pull three major heist across europ knock last week number one nat treasur third plac wesley snip blad triniti second tak m m round top fiv animat fabl polar express star tom hank festiv comedi christma krank ocean twelv box offic triumph mark fourth big open december relea us three film lord ring trilogus seque narrowli beat predecessor ocean eleven take m m open weekend m m tota remak film star frank sinatra rat pack ocean eleven direct oscar win director steven soderbergh soderbergh return direct hit seque reunit clooney pitt robert matt damon andi garcia elliott gould catherin zeta jon join star cast fun good holiday movi said dan fellman president distribu warner bro however us critic less complimentari m m project lo ange tim label dispirit vaniti project mild review new york tim dub seque unabashedli trivia
politics,howard hit back mongre jib micha howard said claim peter hain tori leader act lik attack mongre show labour rattl opposi upbeat speech parto spring conferenc brighton said labour campaign tactic prov tori hit hom mr hain mad claim tori tactic anti terror bill debat someth tell someon somewher littl bit rattl mr howard said mr hain leader common told bbc radio four today programm mr howard stanc government anti terrorism legislat put countri risk accus tori leader behav lik attack mongre play opposi opposi sak mr howard told parto labour would anyth say anyth claim anyth cling offic cost far year compar fagin shylock flying pig morn peter hain even call mongre know someth tell someon somewher littl bit rattl environ secretari margaret beckett reject mr howard comment tell radio pm programm labour rattl real duti try get peopl focu micha howard record proposa try put forward countri also mani examp se believ realli poor judgement behalf mr howard said tori policus school taxe immigrat crim strik chord voter sinc begin year election year ve mak politic weather told parto conferenc mr howard deni play politic rais ca margaret dixon who operat cancel seven tim grab headlin parto two week ago hit back labour claim us mr dixon human shield human shield mr blair human mr howard said parto plan immigrat quota also focu much media coverag racist common sen pledg cleaner hospita better school disciplin promi get rid politic correct nat curriculum giv everyon chanc decent stat educat com ordinari famili teenag micha howard appli cambridg today gordon brown would lov stress parto commitment cut taxe red tap increa basic stat pension lin earn finish persona appea parto activist go win next election one day able tell child grandchild tell min bit play part help win famou election election transform countri better labour election co ordinat alan milburn said micha howard speech today confirm alway said strategus opportun forward vision countri referenc appearanc mr howard famili conferenc stag mr milburn said micha howard perfectli entit pos famili today hard work famili across britain damag plan cut bn public spend
politics,blair prepar nam poll dat toni blair likeli nam may election day parliament return easter break bbc politic editor learn andraw marr say mr blair ask queen apri dissolv parliament end week mr blair far resist call nam day parto step campaign recentli down street would draw claim say election tim matter prim minister number spokeswoman would say announc election want announc election mov signa frantic week westminster government likeli try get key legislat parliament government need financ bill cover budget plan pass common clo busi end session apri also seek push seriou organi crim bill id card bill mr marr said wednesday today programm almost nobodi senior leve insid government parliament doesn expect election call apri soon common back short easter recess toni blair whip palac ask queen dissolv parliament re go labour government officia jun hold genera election recent year government favour four year term
sport,henman hop end dubai third seed tim henman slump straight set defeat rain interrupt dubai open quarter fina ivan ljubicic croatian eighth seed book plac last four victori british number one henman look cour leve match go second set progress halt rain interven ljubicic hit back break seal fourth straight win henman early day spanish fifth seed tommi robredo secur semi fina plac beat nicola kief germani afterward henman left cur weather umpir seven break rain match incredibli frustrat henman said rain umpir doesn tak contro kept tell us play till end gam rain com scor irrelev couldn frustrat happi form expect desert
sport,wilkinson fit fac edinburgh england captain jonni wilkinson mak long await return injuri edinburgh saturday wilkinson play sinc injur bicep october take part full contact train newcast falcon wednesday year old fly half start saturday heineken cup match murrayfield bench newcast director rugbi rob andraw said fin hop get gam stag year old miss england autumn internat aggravat haematoma upper right arm saracen subsequent replac england captain full back jason robinson sal charli hodgson take number shirt internat canada south africa australia wilkinson year disrupt injuri muscl problem follow eight month sidelin shoulder injuri sustain world cup fina
entertainment,last star war child sixth fina star war movi may suitab young child film maker georg luca said told us tv show minut reveng sith would dark violent seri think would tak fiv six year old told cb programm air sunday luca predict film would get us rat advis parent scen may unsuitab open uk us may said expect film would classifi pg roughli equiva british rat fiv previou star war film carri less restrictiv pg parenta guidanc rate us uk pass u suitab exception attack clon got pg rat reveng sith third preque origin star war film chronic transformat heroic anakin skywalker evi darth vader trave hell lik planet compos erupt volcano molten lava re go watch mak pact devi luca said film much dark emotion much tragedi
